Category: All categories

Day,Atlanta Hawks: (Worldwide),LA Lakers: (Worldwide),Memphis Grizzlies: (Worldwide),Miami Heat: (Worldwide),Milwaukee Bucks: (Worldwide)
2016-10-20,7,9,5,24,7
2016-10-21,7,6,4,26,5
2016-10-22,6,7,3,29,4
2016-10-23,7,5,3,22,5
2016-10-24,7,7,4,20,6
2016-10-25,9,8,7,26,7
2016-10-26,12,10,10,44,12
2016-10-27,19,25,13,55,15
2016-10-28,24,10,6,38,8
2016-10-29,19,15,8,45,8
2016-10-30,14,10,13,38,15
2016-10-31,14,9,9,34,8
2016-11-01,20,7,6,31,8
2016-11-02,14,10,10,44,15
2016-11-03,17,11,8,28,8
2016-11-04,13,9,7,33,15
2016-11-05,18,35,7,37,11
2016-11-06,16,13,9,25,14
2016-11-07,9,20,5,26,12
2016-11-08,12,12,6,34,6
2016-11-09,25,11,7,19,5
2016-11-10,23,9,4,32,8
2016-11-11,12,16,4,63,11
2016-11-12,11,11,5,35,6
2016-11-13,16,18,6,41,11
2016-11-14,9,11,4,25,7
2016-11-15,12,9,8,33,6
2016-11-16,19,16,4,31,8
2016-11-17,19,8,15,24,11
2016-11-18,13,8,6,36,11
2016-11-19,16,14,9,24,9
2016-11-20,14,8,9,32,23
2016-11-21,9,12,5,22,9
2016-11-22,11,8,7,29,9
2016-11-23,19,16,5,21,7
2016-11-24,15,17,9,25,6
2016-11-25,10,8,5,19,6
2016-11-26,11,15,10,32,12
2016-11-27,10,7,9,32,7
2016-11-28,16,9,5,22,9
2016-11-29,21,7,9,25,10
2016-11-30,9,9,7,18,23
2016-12-01,13,9,10,28,11
2016-12-02,11,8,7,32,13
2016-12-03,17,10,5,22,12
2016-12-04,17,8,8,28,13
2016-12-05,11,7,6,20,9
2016-12-06,18,10,10,25,15
2016-12-07,8,7,7,34,8
2016-12-08,13,7,7,26,14
2016-12-09,7,6,9,19,9
2016-12-10,11,11,8,33,19
2016-12-11,8,6,25,30,15
2016-12-12,8,9,8,20,9
2016-12-13,9,8,9,28,12
2016-12-14,12,6,13,21,7
2016-12-15,7,9,12,36,9
2016-12-16,9,5,5,23,21
2016-12-17,16,11,9,32,13
2016-12-18,14,10,6,23,8
2016-12-19,9,5,6,26,7
2016-12-20,13,6,4,20,9
2016-12-21,8,8,12,30,23
2016-12-22,11,5,8,24,15
2016-12-23,6,9,6,48,9
2016-12-24,11,7,8,28,14
2016-12-25,11,9,5,23,10
2016-12-26,8,17,6,21,11
2016-12-27,10,7,8,27,11
2016-12-28,10,9,8,33,10
2016-12-29,18,6,6,20,13
2016-12-30,9,10,11,26,10
2016-12-31,13,6,8,28,14
2017-01-01,12,6,7,26,17
2017-01-02,18,8,4,25,10
2017-01-03,8,6,5,20,18
2017-01-04,10,8,10,24,11
2017-01-05,13,5,8,29,24
2017-01-06,29,10,5,22,16
2017-01-07,19,11,27,33,31
2017-01-08,18,7,9,23,18
2017-01-09,11,11,10,18,8
2017-01-10,10,5,5,20,8
2017-01-11,12,8,6,40,14
2017-01-12,11,6,12,22,10
2017-01-13,13,7,6,20,9
2017-01-14,29,8,10,27,18
2017-01-15,18,7,6,19,14
2017-01-16,20,8,11,19,15
2017-01-17,11,6,5,24,10
2017-01-18,8,8,5,30,7
2017-01-19,11,5,6,21,15
2017-01-20,10,5,5,30,11
2017-01-21,15,13,7,22,12
2017-01-22,17,8,8,32,11
2017-01-23,14,9,4,23,8
2017-01-24,12,5,4,62,14
2017-01-25,8,5,4,24,7
2017-01-26,14,8,8,39,12
2017-01-27,12,6,4,24,7
2017-01-28,16,4,11,51,14
2017-01-29,23,6,8,47,15
2017-01-30,14,4,5,27,6
2017-01-31,7,5,8,46,6
2017-02-01,8,8,5,26,7
2017-02-02,12,6,6,55,11
2017-02-03,21,7,5,29,10
2017-02-04,12,9,7,33,11
2017-02-05,15,4,7,63,12
2017-02-06,19,5,5,32,5
2017-02-07,11,8,10,59,8
2017-02-08,9,6,6,34,8
2017-02-09,13,7,8,67,15
2017-02-10,9,7,6,40,9
2017-02-11,14,8,14,83,15
2017-02-12,9,5,7,66,13
2017-02-13,8,5,5,35,7
2017-02-14,14,7,6,43,10
2017-02-15,7,10,4,29,7
2017-02-16,10,6,7,46,10
2017-02-17,7,4,3,29,7
2017-02-18,7,5,2,25,9
2017-02-19,7,5,3,24,5
2017-02-20,8,6,4,28,11
2017-02-21,8,14,4,29,7
2017-02-22,10,16,4,31,8
2017-02-23,14,14,4,38,11
2017-02-24,13,11,5,31,9
2017-02-25,16,8,5,50,11
2017-02-26,11,8,5,55,12
2017-02-27,8,8,4,31,9
2017-02-28,15,7,4,41,15
2017-03-01,10,7,8,26,7
2017-03-02,13,6,4,39,9
2017-03-03,13,7,4,29,8
2017-03-04,24,10,7,40,13
2017-03-05,17,8,7,59,12
2017-03-06,12,6,4,30,8
2017-03-07,22,5,6,67,10
2017-03-08,9,7,3,34,8
2017-03-09,13,5,5,57,10
2017-03-10,8,8,5,33,7
2017-03-11,15,6,5,36,16
2017-03-12,11,6,6,74,15
2017-03-13,10,7,5,36,10
2017-03-14,13,6,7,27,11
2017-03-15,9,4,4,32,6
2017-03-16,10,6,7,54,15
2017-03-17,9,5,6,34,8
2017-03-18,11,7,5,61,17
2017-03-19,10,6,7,48,17
2017-03-20,8,9,4,37,7
2017-03-21,8,7,4,31,6
2017-03-22,8,7,5,43,15
2017-03-23,10,5,4,35,15
2017-03-24,7,5,5,43,9
2017-03-25,8,7,3,25,19
2017-03-26,12,6,4,40,16
2017-03-27,9,7,9,35,8
2017-03-28,8,6,7,30,9
2017-03-29,12,6,4,55,14
2017-03-30,8,5,5,51,19
2017-03-31,5,6,6,34,11
2017-04-01,10,7,6,50,20
2017-04-02,11,7,6,40,19
2017-04-03,8,5,3,37,10
2017-04-04,6,4,3,26,8
2017-04-05,7,4,8,31,15
2017-04-06,10,7,7,47,9
2017-04-07,20,5,4,32,11
2017-04-08,21,12,6,56,10
2017-04-09,28,10,6,61,15
2017-04-10,20,9,4,45,10
2017-04-11,14,5,3,100,15
2017-04-12,21,7,4,52,14
