Category: All categories

Day,Atlanta Hawks: (Worldwide),Washington Wizards: (Worldwide)
2016-10-20,25,9
2016-10-21,25,13
2016-10-22,20,15
2016-10-23,22,11
2016-10-24,25,13
2016-10-25,30,18
2016-10-26,40,20
2016-10-27,64,34
2016-10-28,80,32
2016-10-29,63,15
2016-10-30,47,17
2016-10-31,47,26
2016-11-01,67,15
2016-11-02,49,26
2016-11-03,59,27
2016-11-04,44,25
2016-11-05,60,30
2016-11-06,54,21
2016-11-07,30,18
2016-11-08,42,24
2016-11-09,84,15
2016-11-10,76,27
2016-11-11,40,21
2016-11-12,39,37
2016-11-13,54,26
2016-11-14,30,16
2016-11-15,39,16
2016-11-16,65,16
2016-11-17,65,30
2016-11-18,43,27
2016-11-19,55,19
2016-11-20,47,18
2016-11-21,30,18
2016-11-22,37,20
2016-11-23,65,10
2016-11-24,50,11
2016-11-25,33,16
2016-11-26,37,29
2016-11-27,33,29
2016-11-28,53,19
2016-11-29,70,25
2016-11-30,31,15
2016-12-01,45,27
2016-12-02,38,15
2016-12-03,57,23
2016-12-04,58,14
2016-12-05,37,16
2016-12-06,61,25
2016-12-07,27,23
2016-12-08,45,19
2016-12-09,23,24
2016-12-10,38,17
2016-12-11,26,20
2016-12-12,26,15
2016-12-13,30,20
2016-12-14,42,15
2016-12-15,24,20
2016-12-16,29,17
2016-12-17,54,26
2016-12-18,49,29
2016-12-19,29,30
2016-12-20,45,25
2016-12-21,28,14
2016-12-22,39,28
2016-12-23,21,18
2016-12-24,37,18
2016-12-25,37,16
2016-12-26,27,21
2016-12-27,35,28
2016-12-28,33,22
2016-12-29,60,32
2016-12-30,32,21
2016-12-31,44,23
2017-01-01,40,15
2017-01-02,61,17
2017-01-03,29,24
2017-01-04,35,21
2017-01-05,42,14
2017-01-06,98,20
2017-01-07,63,26
2017-01-08,62,28
2017-01-09,37,17
2017-01-10,35,18
2017-01-11,42,30
2017-01-12,38,21
2017-01-13,44,15
2017-01-14,100,20
2017-01-15,60,29
2017-01-16,68,29
2017-01-17,38,22
2017-01-18,28,19
2017-01-19,38,27
2017-01-20,32,35
2017-01-21,51,20
2017-01-22,58,19
2017-01-23,46,17
2017-01-24,39,37
2017-01-25,26,46
2017-01-26,46,21
2017-01-27,39,22
2017-01-28,53,38
2017-01-29,78,24
2017-01-30,47,30
2017-01-31,24,25
2017-02-01,27,37
2017-02-02,40,35
2017-02-03,70,45
2017-02-04,40,23
2017-02-05,52,42
2017-02-06,63,33
2017-02-07,39,97
2017-02-08,32,26
2017-02-09,44,38
2017-02-10,30,26
2017-02-11,46,53
2017-02-12,30,27
2017-02-13,27,27
2017-02-14,48,58
2017-02-15,25,27
2017-02-16,33,34
2017-02-17,23,46
2017-02-18,24,18
2017-02-19,24,18
2017-02-20,28,26
2017-02-21,28,26
2017-02-22,35,33
2017-02-23,48,41
2017-02-24,45,29
2017-02-25,55,38
2017-02-26,37,33
2017-02-27,29,30
2017-02-28,49,36
2017-03-01,33,89
2017-03-02,43,54
2017-03-03,42,33
2017-03-04,80,43
2017-03-05,57,28
2017-03-06,41,37
2017-03-07,73,26
2017-03-08,30,48
2017-03-09,43,43
2017-03-10,26,22
2017-03-11,50,56
2017-03-12,38,63
2017-03-13,33,35
2017-03-14,43,39
2017-03-15,29,24
2017-03-16,34,29
2017-03-17,29,24
2017-03-18,36,38
2017-03-19,33,26
2017-03-20,26,24
2017-03-21,27,30
2017-03-22,27,26
2017-03-23,33,41
2017-03-24,25,19
2017-03-25,29,41
2017-03-26,42,58
2017-03-27,29,20
2017-03-28,26,26
2017-03-29,39,48
2017-03-30,28,41
2017-03-31,18,23
2017-04-01,35,38
2017-04-02,38,25
2017-04-03,26,46
2017-04-04,21,27
2017-04-05,23,29
2017-04-06,35,23
2017-04-07,69,34
2017-04-08,71,26
2017-04-09,94,36
2017-04-10,69,22
2017-04-11,49,31
2017-04-12,72,28
