Category: All categories

Day,Atlanta Hawks: (Worldwide),Orlando Magic: (Worldwide),Philadelphia Sixers: (Worldwide),Phoenix Suns: (Worldwide),Portland Trail Blazers: (Worldwide)
2017-01-12,29,30,6,23,43
2017-01-13,33,23,3,29,14
2017-01-14,82,44,4,20,24
2017-01-15,44,39,7,35,11
2017-01-16,53,36,3,15,19
2017-01-17,30,37,2,23,11
2017-01-18,23,32,3,14,14
2017-01-19,28,31,5,19,13
2017-01-20,25,32,2,19,13
2017-01-21,41,44,7,20,25
2017-01-22,45,70,3,29,19
2017-01-23,36,30,2,24,10
2017-01-24,28,28,2,22,9
2017-01-25,22,35,5,30,12
2017-01-26,40,29,4,19,27
2017-01-27,28,26,4,24,13
2017-01-28,41,40,4,21,27
2017-01-29,55,27,2,24,15
2017-01-30,36,34,3,19,31
2017-01-31,17,41,4,32,11
2017-02-01,19,30,3,21,13
2017-02-02,30,30,2,19,10
2017-02-03,59,36,3,14,9
2017-02-04,33,43,1,32,26
2017-02-05,42,29,1,25,16
2017-02-06,47,19,2,15,9
2017-02-07,29,32,3,21,14
2017-02-08,22,32,2,16,23
2017-02-09,33,31,3,20,12
2017-02-10,25,40,2,16,24
2017-02-11,32,30,3,46,10
2017-02-12,24,45,3,27,18
2017-02-13,22,28,4,16,26
2017-02-14,39,54,2,22,26
2017-02-15,19,47,3,19,11
2017-02-16,24,35,4,24,22
2017-02-17,20,35,2,18,14
2017-02-18,19,31,3,20,10
2017-02-19,16,44,1,24,8
2017-02-20,21,33,3,24,10
2017-02-21,21,34,2,24,13
2017-02-22,28,36,3,23,14
2017-02-23,41,49,4,43,19
2017-02-24,38,41,3,27,24
2017-02-25,43,37,4,34,8
2017-02-26,31,44,2,26,13
2017-02-27,20,29,3,18,18
2017-02-28,41,28,3,16,10
2017-03-01,26,27,1,16,18
2017-03-02,36,32,3,20,11
2017-03-03,31,31,3,25,34
2017-03-04,64,36,3,35,13
2017-03-05,45,32,2,26,21
2017-03-06,32,33,3,34,12
2017-03-07,52,33,1,20,28
2017-03-08,27,30,1,34,26
2017-03-09,28,34,1,19,14
2017-03-10,17,27,3,34,21
2017-03-11,41,37,3,15,16
2017-03-12,28,39,2,25,27
2017-03-13,25,24,3,25,19
2017-03-14,34,30,1,15,9
2017-03-15,22,22,2,13,14
2017-03-16,25,27,2,28,27
2017-03-17,25,41,2,14,13
2017-03-18,29,30,2,26,24
2017-03-19,24,26,4,24,25
2017-03-20,22,29,2,19,17
2017-03-21,21,33,2,19,10
2017-03-22,24,27,2,19,26
2017-03-23,29,27,2,16,11
2017-03-24,21,24,<1,29,16
2017-03-25,23,25,1,100,19
2017-03-26,32,22,2,39,28
2017-03-27,21,24,2,21,22
2017-03-28,21,34,2,21,16
2017-03-29,33,29,3,19,30
2017-03-30,21,38,1,20,14
2017-03-31,15,25,2,30,42
2017-04-01,30,36,2,22,17
2017-04-02,29,30,1,30,34
2017-04-03,22,27,1,28,19
2017-04-04,15,52,2,14,31
2017-04-05,17,38,1,17,23
2017-04-06,27,35,2,37,16
2017-04-07,49,34,4,24,42
2017-04-08,57,37,2,42,20
2017-04-09,70,27,2,27,51
2017-04-10,52,22,<1,20,26
2017-04-11,37,35,1,15,35
2017-04-12,52,30,1,24,15
