Category: All categories

Day,Atlanta Hawks: (Worldwide),Orlando Magic: (Worldwide),Philadelphia Sixers: (Worldwide),Phoenix Suns: (Worldwide),Portland Trail Blazers: (Worldwide)
2016-10-20,18,30,2,16,10
2016-10-21,20,29,2,16,4
2016-10-22,14,22,3,20,22
2016-10-23,20,25,1,15,7
2016-10-24,17,22,2,15,13
2016-10-25,21,30,2,18,23
2016-10-26,31,49,3,26,52
2016-10-27,47,43,9,41,23
2016-10-28,62,24,2,20,44
2016-10-29,53,41,4,40,19
2016-10-30,34,50,3,51,35
2016-10-31,36,23,1,41,17
2016-11-01,52,33,5,29,14
2016-11-02,37,40,4,26,42
2016-11-03,50,35,3,33,25
2016-11-04,38,40,1,23,14
2016-11-05,44,41,5,28,26
2016-11-06,44,41,3,18,20
2016-11-07,21,32,3,37,22
2016-11-08,28,33,1,24,11
2016-11-09,63,25,2,24,24
2016-11-10,52,32,2,26,23
2016-11-11,33,25,2,12,15
2016-11-12,35,32,3,18,31
2016-11-13,44,26,2,23,15
2016-11-14,24,51,2,35,22
2016-11-15,31,36,4,18,16
2016-11-16,51,29,2,19,29
2016-11-17,53,35,4,19,12
2016-11-18,31,20,3,20,19
2016-11-19,41,31,3,25,17
2016-11-20,38,43,3,22,22
2016-11-21,27,25,2,18,14
2016-11-22,27,29,5,18,12
2016-11-23,47,32,2,16,25
2016-11-24,37,28,3,17,29
2016-11-25,27,20,2,17,10
2016-11-26,28,35,3,20,24
2016-11-27,24,39,2,28,17
2016-11-28,41,26,3,19,21
2016-11-29,54,28,2,14,11
2016-11-30,25,37,1,16,12
2016-12-01,36,30,4,16,18
2016-12-02,25,38,1,17,13
2016-12-03,45,32,2,16,12
2016-12-04,48,30,1,38,23
2016-12-05,30,30,3,15,12
2016-12-06,46,33,3,12,25
2016-12-07,18,47,3,24,10
2016-12-08,39,36,2,20,21
2016-12-09,16,27,2,14,24
2016-12-10,30,34,2,39,15
2016-12-11,19,32,3,16,21
2016-12-12,19,25,3,23,13
2016-12-13,25,25,1,14,22
2016-12-14,28,44,4,31,28
2016-12-15,16,39,2,13,11
2016-12-16,21,34,3,23,18
2016-12-17,41,43,3,25,16
2016-12-18,33,40,2,21,33
2016-12-19,27,32,1,17,15
2016-12-20,35,31,2,16,9
2016-12-21,22,35,2,16,25
2016-12-22,30,32,1,23,23
2016-12-23,18,51,1,16,10
2016-12-24,33,41,2,23,22
2016-12-25,27,34,1,16,8
2016-12-26,21,36,1,16,15
2016-12-27,26,45,3,19,23
2016-12-28,24,39,1,18,13
2016-12-29,41,40,1,26,22
2016-12-30,21,25,1,30,15
2016-12-31,33,24,2,14,19
2017-01-01,34,32,1,20,7
2017-01-02,45,33,1,12,20
2017-01-03,22,42,3,22,10
2017-01-04,31,42,4,21,12
2017-01-05,33,41,3,18,33
2017-01-06,77,33,2,21,25
2017-01-07,52,39,2,13,20
2017-01-08,52,27,2,22,24
2017-01-09,26,38,3,36,31
2017-01-10,27,27,1,17,12
2017-01-11,30,30,3,12,26
