Category: All categories

Day,Atlanta Hawks: (Worldwide),boston celtics: (Worldwide),brooklyn Nets: (Worldwide),Charlotte Bobcats: (Worldwide),Chicago Bulls: (Worldwide)
2017-12-31,4,16,3,<1,18
2018-01-01,3,17,4,<1,11
2018-01-02,3,11,4,<1,13
2018-01-03,4,14,3,<1,9
2018-01-04,3,35,4,<1,11
2018-01-05,2,13,2,<1,9
2018-01-06,4,27,4,<1,16
2018-01-07,3,21,5,<1,11
2018-01-08,4,11,3,<1,9
2018-01-09,3,10,4,<1,12
2018-01-10,2,12,2,<1,9
2018-01-11,3,25,3,<1,15
2018-01-12,2,16,2,<1,9
2018-01-13,4,11,4,<1,11
2018-01-14,3,10,3,<1,19
2018-01-15,4,9,4,<1,16
2018-01-16,3,12,3,<1,13
2018-01-17,3,23,2,<1,10
2018-01-18,3,12,3,<1,21
2018-01-19,3,19,3,<1,10
2018-01-20,4,10,4,<1,13
2018-01-21,3,19,3,<1,14
2018-01-22,3,9,2,<1,10
2018-01-23,3,9,2,<1,16
2018-01-24,3,19,3,<1,9
2018-01-25,4,18,1,<1,12
2018-01-26,3,10,2,<1,9
2018-01-27,5,12,3,<1,15
2018-01-28,3,35,3,<1,14
2018-01-29,3,13,2,<1,8
2018-01-30,5,21,2,<1,10
2018-01-31,3,12,3,<1,10
2018-02-01,3,22,4,<1,14
2018-02-02,3,15,3,<1,10
2018-02-03,4,24,3,<1,13
2018-02-04,3,28,3,<1,10
2018-02-05,3,14,2,<1,9
2018-02-06,3,15,3,<1,12
2018-02-07,4,22,4,<1,10
2018-02-08,6,23,4,<1,13
2018-02-09,6,29,3,<1,12
2018-02-10,6,23,3,<1,21
2018-02-11,5,39,4,<1,14
2018-02-12,3,19,3,<1,10
2018-02-13,3,11,3,<1,12
2018-02-14,4,10,2,<1,8
2018-02-15,3,18,2,<1,9
2018-02-16,2,8,1,<1,7
2018-02-17,2,8,1,<1,7
2018-02-18,2,8,2,<1,8
2018-02-19,2,7,1,<1,6
2018-02-20,2,7,1,<1,6
2018-02-21,2,6,1,<1,7
2018-02-22,2,7,2,<1,8
2018-02-23,2,9,2,<1,12
2018-02-24,3,16,1,<1,8
2018-02-25,2,17,2,<1,11
2018-02-26,3,9,2,<1,7
2018-02-27,4,14,4,<1,9
2018-02-28,3,9,4,<1,9
2018-03-01,4,17,2,<1,6
2018-03-02,3,9,3,<1,7
2018-03-03,5,10,2,<1,10
2018-03-04,5,27,2,<1,7
2018-03-05,3,9,2,<1,7
2018-03-06,3,14,2,<1,8
2018-03-07,3,9,3,<1,7
2018-03-08,2,9,2,<1,9
2018-03-09,2,22,3,<1,8
2018-03-10,2,10,2,<1,9
2018-03-11,4,11,2,<1,9
2018-03-12,3,14,3,<1,7
2018-03-13,3,9,2,<1,7
2018-03-14,3,10,5,<1,8
2018-03-15,2,20,2,<1,6
2018-03-16,2,10,2,<1,9
2018-03-17,3,12,3,<1,8
2018-03-18,2,12,2,<1,10
2018-03-19,2,10,2,<1,6
2018-03-20,2,9,2,<1,8
2018-03-21,4,18,2,<1,7
2018-03-22,3,9,2,<1,7
2018-03-23,4,9,2,<1,7
2018-03-24,4,19,2,<1,9
2018-03-25,3,13,6,<1,8
2018-03-26,3,12,2,<1,5
2018-03-27,2,14,1,<1,6
2018-03-28,2,10,2,<1,8
2018-03-29,3,18,3,<1,7
2018-03-30,3,10,1,<1,9
2018-03-31,3,11,2,<1,8
2018-04-01,3,20,4,<1,9
2018-04-02,2,11,2,<1,7
2018-04-03,2,9,2,<1,7
2018-04-04,3,17,2,<1,7
2018-04-05,3,17,2,<1,6
2018-04-06,2,10,2,<1,6
2018-04-07,2,14,2,<1,8
2018-04-08,3,13,2,<1,8
2018-04-09,2,8,2,<1,6
2018-04-10,3,8,2,<1,7
2018-04-11,3,13,2,<1,6
