Category: All categories

Day,Atlanta Hawks: (Worldwide),boston celtics: (Worldwide),brooklyn Nets: (Worldwide),Charlotte Bobcats: (Worldwide),Chicago Bulls: (Worldwide)
2017-10-12,3,14,4,<1,8
2017-10-13,3,9,2,<1,7
2017-10-14,2,8,2,<1,10
2017-10-15,3,8,2,<1,7
2017-10-16,2,10,3,<1,7
2017-10-17,3,20,3,<1,10
2017-10-18,4,100,4,<1,18
2017-10-19,7,35,7,<1,16
2017-10-20,4,17,5,<1,16
2017-10-21,4,23,6,<1,11
2017-10-22,5,12,8,<1,14
2017-10-23,5,11,5,<1,8
2017-10-24,4,12,5,<1,13
2017-10-25,2,19,8,<1,15
2017-10-26,4,12,10,<1,11
2017-10-27,5,23,5,<1,14
2017-10-28,4,11,5,<1,12
2017-10-29,6,19,4,<1,13
2017-10-30,3,14,3,<1,7
2017-10-31,3,20,4,<1,8
2017-11-01,3,13,4,<1,8
2017-11-02,4,19,2,<1,12
2017-11-03,3,13,2,<1,10
2017-11-04,4,30,5,<1,13
2017-11-05,7,16,2,<1,12
2017-11-06,6,24,3,<1,8
2017-11-07,6,29,4,<1,8
2017-11-08,3,16,3,<1,10
2017-11-09,2,36,2,<1,8
2017-11-10,3,16,2,<1,10
2017-11-11,4,38,4,<1,13
2017-11-12,3,30,3,<1,10
2017-11-13,3,19,2,<1,7
2017-11-14,4,17,4,<1,7
2017-11-15,3,37,6,<1,8
2017-11-16,4,20,3,<1,11
2017-11-17,4,71,2,<1,8
2017-11-18,4,21,3,<1,12
2017-11-19,6,37,4,<1,8
2017-11-20,3,18,4,<1,10
2017-11-21,4,42,2,<1,9
2017-11-22,3,19,2,<1,13
2017-11-23,3,35,4,<1,10
2017-11-24,3,15,4,<1,7
2017-11-25,4,29,2,<1,14
2017-11-26,4,28,3,<1,11
2017-11-27,2,14,4,<1,8
2017-11-28,2,26,3,<1,9
2017-11-29,2,13,2,<1,10
2017-11-30,4,13,3,<1,8
2017-12-01,6,23,2,<1,11
2017-12-02,3,23,3,<1,11
2017-12-03,3,14,2,<1,8
2017-12-04,3,13,2,<1,8
2017-12-05,3,23,2,<1,11
2017-12-06,3,13,2,<1,7
2017-12-07,3,24,4,<1,10
2017-12-08,3,13,8,<1,8
2017-12-09,3,30,5,<1,12
2017-12-10,3,20,4,<1,13
2017-12-11,4,15,3,<1,9
2017-12-12,2,20,3,<1,15
2017-12-13,4,13,5,<1,9
2017-12-14,3,20,4,<1,13
2017-12-15,4,13,4,<1,9
2017-12-16,3,23,4,<1,15
2017-12-17,3,19,3,<1,9
2017-12-18,2,11,3,<1,10
2017-12-19,5,24,2,<1,18
2017-12-20,3,12,2,<1,10
2017-12-21,4,23,3,<1,21
2017-12-22,3,23,2,<1,19
2017-12-23,4,13,5,<1,11
2017-12-24,4,20,3,<1,14
2017-12-25,3,23,3,<1,10
2017-12-26,3,27,2,<1,9
2017-12-27,3,12,4,1,16
2017-12-28,4,21,3,<1,17
2017-12-29,3,36,3,<1,10
2017-12-30,5,14,3,<1,20
