Category: All categories

Day,Atlanta Hawks: (Worldwide),Cleveland Cavaliers: (Worldwide),Dallas Mavericks: (Worldwide),Denver Nuggets: (Worldwide),Detroit Pistons: (Worldwide)
2017-10-12,3,15,3,2,2
2017-10-13,3,14,4,2,2
2017-10-14,3,24,3,2,3
2017-10-15,2,14,3,2,2
2017-10-16,2,14,2,2,2
2017-10-17,3,26,3,3,3
2017-10-18,4,75,6,3,6
2017-10-19,6,17,8,5,13
2017-10-20,4,18,4,2,6
2017-10-21,5,40,6,3,5
2017-10-22,4,38,6,5,6
2017-10-23,4,15,5,4,6
2017-10-24,4,22,8,4,6
2017-10-25,2,32,4,3,4
2017-10-26,4,34,7,4,5
2017-10-27,5,12,4,2,3
2017-10-28,4,19,4,3,4
2017-10-29,5,35,5,2,6
2017-10-30,3,29,3,4,11
2017-10-31,3,14,4,3,5
2017-11-01,3,16,3,2,6
2017-11-02,4,30,5,5,3
2017-11-03,3,16,4,2,5
2017-11-04,4,36,5,6,6
2017-11-05,7,32,5,7,7
2017-11-06,6,20,3,2,4
2017-11-07,6,17,4,2,4
2017-11-08,3,33,4,3,4
2017-11-09,2,15,3,3,8
2017-11-10,2,37,3,7,5
2017-11-11,4,15,4,3,9
2017-11-12,3,28,8,5,7
2017-11-13,2,13,5,3,6
2017-11-14,3,39,4,4,5
2017-11-15,3,15,5,2,5
2017-11-16,4,30,3,2,8
2017-11-17,4,17,3,2,4
2017-11-18,4,38,6,6,7
2017-11-19,6,12,5,3,4
2017-11-20,3,13,3,5,8
2017-11-21,4,28,7,4,7
2017-11-22,3,15,3,3,2
2017-11-23,3,27,5,3,3
2017-11-24,3,13,2,2,3
2017-11-25,4,38,4,4,7
2017-11-26,4,15,6,3,3
2017-11-27,2,15,3,2,4
2017-11-28,2,34,5,2,11
2017-11-29,2,33,3,4,5
2017-11-30,3,16,4,2,8
2017-12-01,6,36,2,5,6
2017-12-02,3,16,5,2,7
2017-12-03,2,37,3,5,7
2017-12-04,2,16,3,2,4
2017-12-05,2,29,5,3,6
2017-12-06,2,16,4,2,4
2017-12-07,3,35,5,2,5
2017-12-08,3,16,3,3,4
2017-12-09,2,34,4,3,9
2017-12-10,3,33,3,3,6
2017-12-11,3,12,4,3,3
2017-12-12,2,13,3,2,3
2017-12-13,4,27,5,4,5
2017-12-14,3,16,4,4,3
2017-12-15,4,34,6,2,5
