Category: All categories

Day,Atlanta Hawks: (Worldwide),Cleveland Cavaliers: (Worldwide),Dallas Mavericks: (Worldwide),Denver Nuggets: (Worldwide),Detroit Pistons: (Worldwide)
2017-12-16,3,14,3,4,6
2017-12-17,2,36,5,2,6
2017-12-18,2,26,3,2,4
2017-12-19,5,16,4,3,3
2017-12-20,2,34,4,2,3
2017-12-21,4,17,5,4,5
2017-12-22,2,32,3,2,3
2017-12-23,4,14,4,4,5
2017-12-24,4,15,4,6,4
2017-12-25,3,64,3,3,5
2017-12-26,2,19,4,3,4
2017-12-27,3,13,7,4,6
2017-12-28,3,26,5,4,3
2017-12-29,3,13,3,2,5
2017-12-30,5,14,6,3,4
2017-12-31,3,31,4,5,6
2018-01-01,3,14,6,2,3
2018-01-02,3,15,3,2,3
2018-01-03,4,49,4,2,3
2018-01-04,2,42,9,3,4
2018-01-05,2,13,4,3,4
2018-01-06,3,14,6,4,6
2018-01-07,3,34,4,4,5
2018-01-08,4,13,7,2,3
2018-01-09,3,32,3,4,4
2018-01-10,2,12,4,2,3
2018-01-11,2,13,4,3,4
2018-01-12,2,35,3,2,3
2018-01-13,4,39,6,5,4
2018-01-14,3,13,3,4,4
2018-01-15,4,14,2,2,5
2018-01-16,3,51,3,2,3
2018-01-17,3,13,4,4,3
2018-01-18,3,14,3,4,4
2018-01-19,3,33,3,3,3
2018-01-20,4,38,3,3,6
2018-01-21,3,28,5,1,5
2018-01-22,3,14,3,2,4
2018-01-23,3,17,5,3,3
2018-01-24,3,37,3,2,4
2018-01-25,4,18,6,3,4
2018-01-26,2,15,3,3,2
2018-01-27,4,34,6,2,6
2018-01-28,2,24,4,4,6
2018-01-29,3,25,3,3,9
2018-01-30,5,16,5,6,34
2018-01-31,2,36,4,3,21
2018-02-01,3,32,4,2,10
2018-02-02,2,14,3,9,19
2018-02-03,3,16,4,4,9
2018-02-04,3,41,4,8,11
2018-02-05,3,15,3,3,6
2018-02-06,2,19,5,4,12
2018-02-07,4,44,3,3,8
2018-02-08,6,100,6,5,14
2018-02-09,5,66,8,5,9
2018-02-10,6,67,5,4,12
2018-02-11,5,69,8,5,10
2018-02-12,3,40,5,2,6
2018-02-13,3,25,3,3,6
2018-02-14,3,59,4,6,4
2018-02-15,3,21,2,4,6
2018-02-16,2,16,2,6,4
2018-02-17,2,13,2,3,4
2018-02-18,1,10,2,2,3
2018-02-19,2,10,1,3,3
2018-02-20,2,11,2,2,3
2018-02-21,2,12,13,2,2
2018-02-22,2,14,13,2,3
2018-02-23,2,37,6,2,3
2018-02-24,2,38,10,5,5
2018-02-25,2,36,5,3,5
2018-02-26,2,16,4,5,3
2018-02-27,4,12,5,3,4
2018-02-28,2,47,4,6,3
2018-03-01,4,14,6,3,5
2018-03-02,3,31,3,2,3
2018-03-03,5,12,4,4,5
2018-03-04,5,27,3,6,3
2018-03-05,2,11,3,3,3
2018-03-06,3,24,3,2,5
2018-03-07,3,12,4,5,4
2018-03-08,2,26,3,6,6
2018-03-09,2,13,3,3,4
2018-03-10,2,25,3,5,5
2018-03-11,4,14,6,4,4
2018-03-12,2,28,3,3,2
2018-03-13,2,9,3,3,3
2018-03-14,3,22,3,4,4
2018-03-15,2,11,2,2,2
2018-03-16,2,26,2,3,3
2018-03-17,2,12,5,2,3
2018-03-18,2,25,3,3,3
2018-03-19,2,16,2,2,2
2018-03-20,2,23,2,4,4
2018-03-21,3,16,4,2,4
2018-03-22,3,31,3,3,3
2018-03-23,4,15,4,2,4
2018-03-24,4,27,2,3,4
2018-03-25,3,31,3,3,4
2018-03-26,2,12,2,3,4
2018-03-27,2,14,3,4,5
2018-03-28,2,31,3,3,3
2018-03-29,3,22,3,2,4
2018-03-30,2,16,3,2,5
2018-03-31,2,26,3,5,4
2018-04-01,2,21,3,3,5
2018-04-02,1,19,3,5,4
2018-04-03,2,16,3,3,3
2018-04-04,3,23,4,5,4
2018-04-05,3,14,3,3,4
2018-04-06,2,30,2,8,2
2018-04-07,2,31,3,8,3
2018-04-08,3,15,4,6,4
2018-04-09,2,12,3,4,3
2018-04-10,3,23,3,13,3
2018-04-11,3,15,4,9,2
