Category: All categories

Day,Atlanta Hawks: (Worldwide),Minnesota Timberwolves: (Worldwide),New Orleans Hornets: (Worldwide),New York Knicks: (Worldwide),Oklahoma City Thunder: (Worldwide)
2016-10-20,16,11,1,31,5
2016-10-21,16,7,<1,30,6
2016-10-22,14,11,0,22,4
2016-10-23,12,8,<1,21,6
2016-10-24,17,12,1,24,5
2016-10-25,20,13,<1,62,9
2016-10-26,24,18,1,87,19
2016-10-27,42,26,1,31,45
2016-10-28,50,10,1,28,16
2016-10-29,36,9,3,35,42
2016-10-30,31,29,1,65,22
2016-10-31,30,9,1,32,29
2016-11-01,42,13,1,35,17
2016-11-02,31,17,1,51,18
2016-11-03,33,11,<1,42,49
2016-11-04,25,18,1,35,95
2016-11-05,40,21,<1,72,32
2016-11-06,31,18,<1,61,25
2016-11-07,21,7,2,26,15
2016-11-08,29,9,2,24,32
2016-11-09,54,14,1,25,14
2016-11-10,53,17,1,48,25
2016-11-11,23,7,1,28,16
2016-11-12,20,10,1,48,30
2016-11-13,31,16,2,46,15
2016-11-14,19,16,1,24,32
2016-11-15,24,11,1,46,22
2016-11-16,40,19,1,26,10
2016-11-17,38,7,1,59,24
2016-11-18,28,23,<1,44,12
2016-11-19,35,10,1,20,24
2016-11-20,28,13,2,43,13
2016-11-21,16,8,1,29,27
2016-11-22,24,18,1,26,11
2016-11-23,43,10,1,61,34
2016-11-24,32,15,2,25,20
2016-11-25,19,7,0,21,10
2016-11-26,23,19,1,67,30
2016-11-27,21,20,<1,48,30
2016-11-28,33,7,1,33,15
2016-11-29,44,14,2,48,27
2016-11-30,18,13,1,27,14
2016-12-01,27,17,<1,48,29
2016-12-02,28,13,1,28,15
2016-12-03,34,15,1,53,11
2016-12-04,33,13,1,33,12
2016-12-05,21,10,1,52,29
2016-12-06,39,9,1,29,28
2016-12-07,19,14,1,60,9
2016-12-08,25,10,0,63,10
2016-12-09,16,18,1,24,14
2016-12-10,23,13,1,47,40
2016-12-11,17,13,1,27,13
2016-12-12,17,16,1,49,25
2016-12-13,17,10,1,31,9
2016-12-14,30,22,1,50,26
2016-12-15,16,8,1,27,18
2016-12-16,19,7,1,46,9
2016-12-17,33,9,1,30,17
2016-12-18,34,20,<1,40,16
2016-12-19,15,10,1,26,10
2016-12-20,28,13,1,26,22
2016-12-21,17,13,2,45,11
2016-12-22,25,16,0,27,17
2016-12-23,12,9,1,49,13
2016-12-24,19,14,1,30,23
2016-12-25,24,13,1,100,16
2016-12-26,16,24,1,27,38
2016-12-27,23,21,2,23,15
2016-12-28,22,8,<1,25,30
2016-12-29,41,14,2,42,12
2016-12-30,22,9,1,21,27
2016-12-31,29,16,1,37,11
2017-01-01,22,9,2,41,24
2017-01-02,40,14,1,24,13
2017-01-03,18,12,2,39,22
2017-01-04,19,10,1,23,10
2017-01-05,26,9,1,44,18
2017-01-06,60,12,1,24,33
2017-01-07,37,16,1,66,14
2017-01-08,35,15,2,37,21
2017-01-09,25,14,0,24,12
2017-01-10,22,14,1,43,20
2017-01-11,28,6,<1,30,11
2017-01-12,24,13,1,45,25
2017-01-13,28,8,1,41,11
2017-01-14,58,18,2,19,19
2017-01-15,39,14,1,36,10
2017-01-16,41,7,0,50,18
2017-01-17,23,7,1,34,24
2017-01-18,17,11,<1,22,12
2017-01-19,24,10,<1,43,40
2017-01-20,20,16,1,40,10
2017-01-21,30,8,1,28,9
2017-01-22,35,7,1,38,6
2017-01-23,29,17,0,24,9
2017-01-24,26,8,1,42,21
2017-01-25,15,20,1,24,8
2017-01-26,26,15,2,38,20
2017-01-27,26,17,1,26,28
2017-01-28,33,10,1,52,14
2017-01-29,53,18,1,61,32
2017-01-30,29,9,1,40,15
2017-01-31,15,19,1,23,10
2017-02-01,18,13,2,36,23
2017-02-02,25,17,1,35,24
2017-02-03,40,8,1,23,10
2017-02-04,23,15,1,27,23
2017-02-05,30,17,1,43,26
2017-02-06,41,10,1,20,16
2017-02-07,24,12,1,32,14
2017-02-08,22,8,0,24,8
2017-02-09,28,15,1,68,12
2017-02-10,17,9,<1,45,31
2017-02-11,32,18,1,46,26
2017-02-12,18,15,2,63,74
2017-02-13,16,10,1,48,13
2017-02-14,28,14,2,23,21
2017-02-15,16,15,1,24,12
2017-02-16,21,15,1,40,23
2017-02-17,12,7,1,21,8
2017-02-18,15,8,1,19,7
2017-02-19,18,8,2,22,7
2017-02-20,17,9,7,22,9
2017-02-21,18,14,2,25,6
2017-02-22,20,13,1,30,7
2017-02-23,27,18,1,38,17
2017-02-24,24,11,2,37,21
2017-02-25,34,18,2,21,30
2017-02-26,21,19,1,39,12
2017-02-27,19,11,1,27,27
2017-02-28,28,15,1,39,15
2017-03-01,20,11,1,18,22
2017-03-02,24,16,1,31,16
2017-03-03,28,7,2,22,29
2017-03-04,48,10,2,30,26
2017-03-05,35,16,0,50,13
2017-03-06,25,8,1,30,27
2017-03-07,49,20,1,29,12
2017-03-08,16,8,1,19,27
2017-03-09,31,16,<1,26,9
2017-03-10,19,14,<1,16,27
2017-03-11,29,33,1,22,25
2017-03-12,25,16,2,35,15
2017-03-13,21,9,1,23,9
2017-03-14,27,18,<1,22,9
2017-03-15,18,11,1,25,23
2017-03-16,22,13,1,17,12
2017-03-17,16,6,1,24,22
2017-03-18,21,13,1,16,23
2017-03-19,21,11,1,14,15
2017-03-20,14,10,1,14,15
2017-03-21,17,10,<1,27,31
2017-03-22,14,21,1,17,10
2017-03-23,17,6,<1,28,19
2017-03-24,14,5,1,20,12
2017-03-25,18,17,1,22,7
2017-03-26,26,11,<1,27,31
2017-03-27,19,5,1,18,17
2017-03-28,16,7,0,26,29
2017-03-29,23,10,<1,19,12
2017-03-30,18,10,1,25,32
2017-03-31,11,11,<1,19,12
2017-04-01,19,6,1,24,35
2017-04-02,23,12,<1,38,29
2017-04-03,15,13,1,18,22
2017-04-04,15,18,1,16,14
2017-04-05,15,19,1,19,36
2017-04-06,22,6,1,17,42
2017-04-07,46,15,1,21,17
2017-04-08,42,9,1,18,58
2017-04-09,61,8,1,25,39
2017-04-10,44,16,0,17,30
