Category: All categories

Day,Atlanta Hawks: (Worldwide),Sacramento Kings: (Worldwide),San Antonio Spurs: (Worldwide),Toronto Raptors: (Worldwide),Utah Jazz: (Worldwide)
2017-12-09,9,16,55,27,16
2017-12-10,10,19,38,24,20
2017-12-11,12,7,21,14,12
2017-12-12,8,10,21,25,11
2017-12-13,14,16,45,12,11
2017-12-14,10,9,16,23,22
2017-12-15,14,14,18,14,17
2017-12-16,10,6,47,26,42
2017-12-17,7,15,36,24,32
2017-12-18,7,8,15,16,14
2017-12-19,16,11,32,14,22
2017-12-20,8,16,17,16,14
2017-12-21,13,13,36,27,24
2017-12-22,7,9,33,31,30
2017-12-23,14,13,17,24,16
2017-12-24,15,15,32,29,23
2017-12-25,11,7,18,14,15
2017-12-26,9,9,15,26,17
2017-12-27,11,16,35,33,21
2017-12-28,13,33,19,30,27
2017-12-29,10,12,40,18,13
2017-12-30,17,14,20,27,15
2017-12-31,12,12,31,14,46
2018-01-01,9,11,12,17,14
2018-01-02,12,10,17,34,12
2018-01-03,14,15,37,16,14
2018-01-04,8,8,33,30,23
2018-01-05,8,10,18,14,13
2018-01-06,12,8,33,34,19
2018-01-07,12,15,20,15,23
2018-01-08,15,7,34,15,14
2018-01-09,12,17,29,35,13
2018-01-10,8,16,16,35,17
2018-01-11,8,11,18,16,27
2018-01-12,6,14,42,65,18
2018-01-13,14,11,19,28,23
2018-01-14,10,6,36,57,13
2018-01-15,14,7,28,35,15
2018-01-16,11,13,16,16,26
2018-01-17,10,7,15,19,12
2018-01-18,12,10,29,26,25
2018-01-19,11,9,20,15,16
2018-01-20,13,11,31,30,39
2018-01-21,11,7,17,29,29
2018-01-22,10,8,28,15,17
2018-01-23,11,13,19,14,20
2018-01-24,11,14,49,14,17
2018-01-25,13,10,31,25,21
2018-01-26,9,13,19,18,18
2018-01-27,16,8,33,32,38
2018-01-28,9,11,14,19,17
2018-01-29,12,14,29,27,18
2018-01-30,17,8,17,19,23
2018-01-31,9,15,29,30,66
2018-02-01,12,10,22,17,28
2018-02-02,8,10,36,29,28
2018-02-03,12,31,18,29,40
2018-02-04,11,17,32,28,42
2018-02-05,9,8,10,18,21
2018-02-06,9,16,16,17,46
2018-02-07,13,7,12,38,28
2018-02-08,22,17,43,31,68
2018-02-09,19,20,21,38,47
2018-02-10,23,20,19,26,65
2018-02-11,19,11,40,37,35
2018-02-12,9,14,18,24,71
2018-02-13,11,10,37,26,72
2018-02-14,11,14,28,39,35
2018-02-15,9,11,12,37,53
2018-02-16,7,8,10,19,27
2018-02-17,6,10,12,17,17
2018-02-18,5,9,11,13,34
2018-02-19,7,5,8,15,20
2018-02-20,6,5,11,13,17
2018-02-21,6,7,12,15,19
2018-02-22,6,9,15,13,19
2018-02-23,7,16,16,19,20
2018-02-24,9,9,28,37,38
2018-02-25,7,15,41,18,39
2018-02-26,9,7,21,17,23
2018-02-27,14,12,19,26,36
2018-02-28,9,10,19,17,14
2018-03-01,15,9,32,28,15
2018-03-02,11,17,14,17,17
2018-03-03,17,8,20,40,54
2018-03-04,18,16,33,26,38
2018-03-05,7,11,16,30,19
2018-03-06,10,7,25,22,30
2018-03-07,12,9,18,36,21
2018-03-08,6,11,20,54,38
2018-03-09,7,6,35,30,21
2018-03-10,6,10,19,100,36
2018-03-11,14,11,30,50,42
2018-03-12,9,9,18,30,29
2018-03-13,9,9,35,29,29
2018-03-14,9,9,29,43,44
2018-03-15,6,17,19,33,23
2018-03-16,8,8,33,43,49
2018-03-17,8,18,22,54,30
2018-03-18,8,10,37,56,59
2018-03-19,6,9,22,27,24
2018-03-20,8,12,49,25,30
2018-03-21,13,7,18,44,50
2018-03-22,12,7,38,47,22
2018-03-23,14,42,21,19,41
2018-03-24,13,10,59,41,49
2018-03-25,13,14,51,29,27
2018-03-26,8,10,24,25,51
2018-03-27,6,10,22,23,25
2018-03-28,7,20,29,29,26
2018-03-29,11,12,25,19,53
2018-03-30,9,19,52,18,20
2018-03-31,7,9,23,25,38
2018-04-01,8,22,56,36,31
2018-04-02,5,14,30,16,42
2018-04-03,7,9,27,24,26
2018-04-04,11,8,42,37,56
2018-04-05,12,6,42,47,34
2018-04-06,6,7,18,20,57
2018-04-07,8,10,24,38,29
2018-04-08,11,8,51,28,49
2018-04-09,7,6,23,34,56
2018-04-10,11,12,44,28,43
2018-04-11,9,10,27,26,97
