Category: All categories

Day,Atlanta Hawks: (Worldwide),Sacramento Kings: (Worldwide),San Antonio Spurs: (Worldwide),Toronto Raptors: (Worldwide),Utah Jazz: (Worldwide)
2017-10-12,12,10,14,9,11
2017-10-13,11,15,14,11,11
2017-10-14,10,16,28,18,8
2017-10-15,7,9,11,8,10
2017-10-16,8,10,14,8,11
2017-10-17,12,11,19,11,12
2017-10-18,14,17,25,15,24
2017-10-19,24,31,56,26,37
2017-10-20,14,17,18,32,20
2017-10-21,17,23,24,22,32
2017-10-22,16,17,36,31,40
2017-10-23,13,12,21,18,16
2017-10-24,14,20,42,28,15
2017-10-25,9,9,19,18,29
2017-10-26,14,15,45,26,22
2017-10-27,19,35,27,18,11
2017-10-28,14,12,36,29,15
2017-10-29,18,12,36,12,33
2017-10-30,12,12,20,16,16
2017-10-31,9,10,27,23,21
2017-11-01,11,16,15,14,13
2017-11-02,15,14,23,20,33
2017-11-03,10,11,51,12,17
2017-11-04,15,13,35,21,27
2017-11-05,25,13,15,18,13
2017-11-06,21,7,30,19,21
2017-11-07,20,10,17,15,11
2017-11-08,11,23,30,22,26
2017-11-09,8,10,19,14,11
2017-11-10,9,24,19,23,15
2017-11-11,14,13,38,12,21
2017-11-12,11,16,32,25,25
2017-11-13,8,9,13,14,14
2017-11-14,12,11,19,14,20
2017-11-15,10,12,30,28,14
2017-11-16,16,15,25,22,19
2017-11-17,14,8,14,15,13
2017-11-18,13,20,40,24,21
2017-11-19,20,14,13,27,20
2017-11-20,10,7,17,17,11
2017-11-21,14,14,27,17,16
2017-11-22,9,10,15,13,10
2017-11-23,11,28,21,24,18
2017-11-24,11,8,13,10,7
2017-11-25,16,13,17,25,12
2017-11-26,13,16,29,20,24
2017-11-27,7,11,18,15,11
2017-11-28,9,28,27,14,15
2017-11-29,8,17,15,13,25
2017-11-30,11,8,31,20,17
2017-12-01,21,11,14,15,31
2017-12-02,11,15,29,22,35
2017-12-03,8,12,19,14,16
2017-12-04,9,7,33,12,16
2017-12-05,9,7,28,15,38
2017-12-06,8,9,17,24,33
2017-12-07,10,18,30,13,17
2017-12-08,9,8,20,17,33
