Category: All categories

Day,Atlanta Hawks: (Worldwide),Golden State Warriors: (Worldwide),Houston Rockets: (Worldwide),Indiana Pacers: (Worldwide),LA Clippers: (Worldwide)
2017-10-12,3,11,9,1,2
2017-10-13,4,12,6,1,2
2017-10-14,2,27,12,1,2
2017-10-15,4,12,6,2,1
2017-10-16,2,12,6,1,1
2017-10-17,3,21,12,2,2
2017-10-18,4,100,48,4,2
2017-10-19,7,21,22,4,4
2017-10-20,5,22,10,3,9
2017-10-21,4,62,11,3,3
2017-10-22,7,64,17,2,4
2017-10-23,6,22,10,2,2
2017-10-24,4,43,14,2,2
2017-10-25,3,22,10,5,4
2017-10-26,4,44,13,3,2
2017-10-27,5,20,9,2,5
2017-10-28,5,63,12,2,3
2017-10-29,7,27,11,4,4
2017-10-30,4,47,8,3,3
2017-10-31,4,41,12,3,3
2017-11-01,4,18,7,4,2
2017-11-02,4,25,14,6,3
2017-11-03,4,46,9,3,1
2017-11-04,4,23,10,3,3
2017-11-05,8,42,7,2,2
2017-11-06,6,18,15,3,2
2017-11-07,8,40,7,2,1
2017-11-08,2,20,7,3,2
2017-11-09,2,42,10,3,1
2017-11-10,3,20,24,2,2
2017-11-11,5,21,9,3,3
2017-11-12,4,45,15,3,2
2017-11-13,3,20,10,2,2
2017-11-14,5,37,9,1,3
2017-11-15,4,20,15,2,1
2017-11-16,5,22,8,2,1
2017-11-17,4,64,25,2,1
2017-11-18,4,23,10,4,4
2017-11-19,7,61,15,3,3
2017-11-20,3,32,7,2,2
2017-11-21,4,18,8,3,2
2017-11-22,3,20,7,1,2
2017-11-23,4,59,14,1,2
2017-11-24,3,18,7,2,1
2017-11-25,5,45,8,4,1
2017-11-26,5,50,15,4,2
2017-11-27,3,20,7,2,2
2017-11-28,3,40,13,3,3
2017-11-29,2,19,8,1,1
2017-11-30,5,48,13,3,1
2017-12-01,7,21,8,2,2
2017-12-02,3,39,7,3,2
2017-12-03,3,21,9,1,2
2017-12-04,3,33,17,2,1
2017-12-05,4,42,7,2,1
2017-12-06,3,19,8,2,1
2017-12-07,4,35,10,3,2
2017-12-08,3,19,17,3,1
2017-12-09,4,39,10,7,2
2017-12-10,4,18,19,3,2
2017-12-11,4,15,10,4,2
2017-12-12,3,34,22,1,3
2017-12-13,5,15,13,3,1
2017-12-14,3,17,22,7,2
2017-12-15,4,39,11,2,1
2017-12-16,4,20,30,3,2
2017-12-17,3,19,26,2,2
2017-12-18,3,16,11,3,1
2017-12-19,6,48,23,6,2
2017-12-20,4,18,13,1,1
2017-12-21,4,33,27,3,2
2017-12-22,4,20,10,2,1
2017-12-23,5,47,21,2,4
2017-12-24,5,48,9,4,2
2017-12-25,4,97,14,2,2
2017-12-26,3,38,29,2,2
2017-12-27,4,20,8,4,3
2017-12-28,6,36,10,3,1
2017-12-29,3,19,30,2,1
2017-12-30,6,42,21,2,2
2017-12-31,5,55,9,2,1
2018-01-01,3,20,20,1,2
2018-01-02,3,17,7,1,2
2018-01-03,4,18,8,2,3
2018-01-04,3,47,17,2,2
2018-01-05,3,52,26,1,5
2018-01-06,5,42,10,2,3
2018-01-07,3,27,11,3,3
2018-01-08,4,19,8,2,2
2018-01-09,4,39,10,4,2
2018-01-10,3,18,7,2,2
2018-01-11,4,40,13,3,4
2018-01-12,3,23,9,1,3
2018-01-13,4,46,13,6,3
2018-01-14,3,51,8,2,2
2018-01-15,4,21,6,4,1
2018-01-16,4,71,22,3,5
2018-01-17,3,21,10,1,2
2018-01-18,4,46,11,2,4
2018-01-19,3,18,15,3,2
2018-01-20,6,22,12,3,2
2018-01-21,3,61,35,2,2
2018-01-22,3,15,11,3,2
2018-01-23,3,16,18,2,3
2018-01-24,3,35,9,2,2
2018-01-25,4,18,15,3,4
2018-01-26,3,39,9,2,2
2018-01-27,5,22,16,4,2
2018-01-28,4,65,15,4,2
2018-01-29,3,18,8,2,3
2018-01-30,5,18,9,3,8
2018-01-31,4,37,18,2,5
2018-02-01,4,22,11,3,3
2018-02-02,3,20,18,2,3
2018-02-03,5,44,12,4,4
2018-02-04,4,45,26,3,3
2018-02-05,3,17,9,2,2
2018-02-06,3,16,10,3,3
2018-02-07,5,50,18,1,2
2018-02-08,6,22,23,7,2
2018-02-09,7,40,13,2,2
2018-02-10,7,23,26,4,3
2018-02-11,6,46,17,4,3
2018-02-12,4,17,19,3,2
2018-02-13,3,35,13,2,1
2018-02-14,5,18,21,2,2
2018-02-15,4,45,20,3,3
2018-02-16,2,15,12,1,1
2018-02-17,2,12,9,2,1
2018-02-18,2,11,8,2,2
2018-02-19,2,12,8,2,1
2018-02-20,2,11,8,2,1
2018-02-21,2,11,7,1,1
2018-02-22,2,12,7,1,1
2018-02-23,3,36,9,2,3
2018-02-24,3,17,22,3,2
2018-02-25,2,57,12,2,1
2018-02-26,3,16,22,2,1
2018-02-27,6,34,21,3,1
2018-02-28,3,17,11,2,4
2018-03-01,5,34,28,3,4
2018-03-02,3,17,11,1,1
2018-03-03,5,35,15,3,2
2018-03-04,6,18,41,2,1
2018-03-05,4,13,13,3,2
2018-03-06,3,15,12,4,1
2018-03-07,4,33,34,2,3
2018-03-08,3,17,27,3,1
2018-03-09,2,39,17,1,2
2018-03-10,3,42,43,3,4
2018-03-11,5,35,18,3,3
2018-03-12,3,17,19,4,1
2018-03-13,3,14,20,3,1
2018-03-14,4,17,10,4,2
2018-03-15,2,31,10,3,1
2018-03-16,3,17,21,3,2
2018-03-17,3,34,14,2,2
2018-03-18,2,32,20,2,2
2018-03-19,2,17,21,2,2
2018-03-20,3,32,12,3,1
2018-03-21,5,16,26,2,2
2018-03-22,4,13,12,3,1
2018-03-23,4,13,19,2,1
2018-03-24,5,43,16,3,2
2018-03-25,3,22,25,4,2
2018-03-26,4,30,17,3,1
2018-03-27,2,17,11,2,1
2018-03-28,3,28,17,3,3
2018-03-29,4,15,10,2,1
2018-03-30,3,33,14,3,1
2018-03-31,4,16,26,1,2
2018-04-01,3,40,25,4,2
2018-04-02,2,25,14,3,1
2018-04-03,2,17,10,2,1
2018-04-04,4,31,16,2,2
2018-04-05,4,20,12,3,1
2018-04-06,2,24,17,5,2
2018-04-07,3,18,13,3,2
2018-04-08,4,31,24,4,2
2018-04-09,2,21,10,2,1
2018-04-10,4,16,9,3,2
2018-04-11,3,30,20,2,1
